id,key,octave,steps_from_C,eventType,artistGenre,phrase0_start,phrase0_end,phrase1_start,phrase1_end,phrase2_start,phrase2_end,phrase3_start,phrase3_end,phrase4_start,phrase4_end,phrase5_start,phrase5_end,phrase6_start,phrase6_end,phrase7_start,phrase7_end,phrase8_start,phrase8_end,phrase9_start,phrase9_end,phrase10_start,phrase10_end,phrase11_start,phrase11_end,phrase12_start,phrase12_end,phrase13_start,phrase13_end,phrase14_start,phrase14_end,phrase15_start,phrase15_end,phrase0_diva,phrase1_diva,phrase2_diva,phrase3_diva,phrase4_diva,phrase5_diva,phrase6_diva,phrase7_diva,phrase8_diva,phrase9_diva,phrase10_diva,phrase11_diva,phrase12_diva,phrase13_diva,phrase14_diva,phrase15_diva
stephanie-mills_wnba-allstar-game_2003,G,,7,basketball,rnb,0.4,7.2,7.9,12.3,13.2,19,19.7,25,25.7,31.3,31.9,36.3,37.2,42.1,42.6,48.1,48.8,53.5,53.8,59.1,59.6,64.4,65.2,70.7,71,76.9,77.5,84.5,85.2,94.2,94.9,115.9,109.6,88,204,111,161.7,173.2,245.5,142.2,214.8,231,120.8,359.8,322.6,226.2,183.3,651.9
steven-tyler_indy-500_2001,G,,7,racing,rock,0.5,4.5,5.3,10,10.8,15,15.5,20.1,20.7,24.9,25.7,30.6,32,36.6,37.1,42.5,43.5,48.2,50.7,54.6,56.8,61.4,62.2,68.9,73.4,79.1,79.5,85.8,88.8,99.9,100.7,112.5,46.6,100.4,200.7,68.2,60.7,75.1,83.4,56,394,434.3,118.7,372.3,72.6,436.8,1222.5,338.7
taylor-swift_nfl-regular-season_2006,E,,4,football,country,0.5,5.5,6,10.8,11.5,16.4,17.2,21.9,22.5,27.5,28,32.9,33.5,38.5,39.1,44,44.6,49.5,49.9,54.9,55.5,60.5,61,66.1,66.6,72.7,73.1,78.7,79.3,89.1,90.1,99.4,83.5,64.1,153.2,26.8,82.2,44.3,107.3,82.4,120.8,342.1,142.7,49.9,166.1,106.1,259.4,87.6
taylor-swift_world-series_2008,E,,4,baseball,country,0.3,4.9,5.4,9.4,10.7,15.3,16,20.7,21.3,26,26.7,30.9,32,36.4,37.3,42.3,43.1,47.8,48.2,52.9,53.6,58.4,58.8,63.7,64.2,70.3,70.7,76.6,77.5,86,88.7,98,79.2,105.7,146.8,131.7,77.6,150.6,159,99.2,192.7,365.6,165.8,231.1,141.1,362.4,107.3,104.4
tpain_mlb-regular-season-game_2015,Eb,,3,baseball,rnb,0.5,8.4,9.2,16.3,17.5,23.1,23.5,28.7,29.7,36,37.1,43.9,44.7,49.3,49.9,54.6,55.6,61.3,62,69.4,70.8,76.4,77.1,82.4,83.2,88.8,89.3,96,97.7,108.8,109.8,125.2,153.1,205.6,329.5,157.3,250.7,332.5,446.3,444.7,624.2,374.7,477.5,592.6,215.5,758,627.4,1002.6
trace-adkins_rnc_2020,D,TRUE,-10,political,country,0.4,5.1,5.8,10.8,11.5,16.7,17.4,22.9,23.8,28.9,29.6,34.8,35.7,41.1,41.4,48.1,49.3,54.3,54.9,59.4,60.2,65,65.9,72.8,73.9,79.6,80.2,87,88.2,96.1,96.8,106.9,107.5,114.7,355.7,130.1,98.4,115.2,467.6,144.4,206,74,125.7,371.3,250.9,110.9,212.4,336.1
trisha-yearwood_world-series_2014,Eb,,3,baseball,country,0.8,4.7,5.2,9.4,9.7,13.9,14.3,18.5,19,23.2,23.8,27.9,28.5,32.6,33.1,37.3,37.9,42.1,42.3,46.7,47.3,51.5,52.1,56.6,57.2,62.5,63,68.1,68.5,76.1,76.6,84.7,44.5,53.7,118.6,98,39.5,79.8,79.8,83,120.4,125,77,129.1,288.7,119.2,162.3,266.2
usher_nba-finals_2015,Bb,TRUE,-2,basketball,rnb,0.3,4.9,5.3,10,10.4,15,15.4,20.1,20.6,29.5,30.6,38,40.7,45,45.7,50.9,53.3,58.2,58.7,63.2,63.7,67.8,68.5,74.5,76.2,85.8,87.2,95.6,96.3,103.4,103.7,118.1,65.9,87.3,142.9,107.7,463.6,316.6,105.6,115,226.5,228.4,200,372.3,405.6,434,200.6,699.1
whitney-houston_super-bowl_1991,Ab,,8,football,pop,0.3,5.3,6,11.1,11.8,17.2,17.5,23.1,23.7,29.4,29.8,35.6,36.3,42.1,42.5,48.5,49.3,54.7,55.1,61.2,61.7,67.8,68.5,74.8,75.3,82.6,83.1,91.2,91.8,99.2,99.6,116.2,176.4,116.6,324.7,184.4,259.5,235,749.3,255.1,466,287.6,178.9,122.2,514.2,445.1,432.8,666.8
whitney-houston_wnba-allstar-game_1999,F,,5,basketball,pop,0.4,6.9,7.7,11.9,13.2,18.2,18.6,23.2,23.8,28.6,29.5,33.8,34.8,39.3,40.1,44.7,46,50.1,50.5,56.1,56.6,60.7,62.2,66.3,66.6,72.9,73.8,84.9,85.1,89.8,90.3,111.2,79.1,146.6,394.3,120,98,156.7,377.6,205.8,189.5,194.5,232.9,311.7,501.8,378,489,933.8
zooey-deschanel_world-series_2011,Eb,,3,baseball,pop,0.3,6.8,7.7,13.4,14.7,20,20.4,26.3,27.9,34,34.5,39.8,40.8,46.4,46.9,52.5,53.8,59.3,59.8,65.1,65.6,69.6,70.2,75.2,75.7,81.9,82.7,89.4,91.2,96.3,96.9,105,69,64.4,204.6,110.6,47.6,41.5,190.2,162.7,353.2,87.8,161,205.5,329.2,224.7,190.6,141.8
